Rank,Team,W,L,AdjOffEff,AdjDefEff,Total,Date
1,Duke,32,2,127.87,90.73,37.14,3/16/2026
2,Michigan,31,3,126.01,92.14,33.87,3/16/2026
3,Arizona,32,2,125.43,92.43,33,3/16/2026
4,Florida,26,7,124.46,93.92,30.54,3/16/2026
5,Illinois,24,8,128.95,99.82,29.13,3/16/2026
6,Iowa State,27,7,123.52,94.58,28.94,3/16/2026
7,Gonzaga,30,3,122.23,93.62,28.61,3/16/2026
8,Houston,28,6,122.31,94.08,28.23,3/16/2026
9,Purdue,27,8,129.38,101.89,27.49,3/16/2026
10,UConn,29,5,120.8,96.12,24.69,3/16/2026
11,Michigan State,25,7,121.14,96.65,24.5,3/16/2026
12,Virginia,29,5,122.42,98.26,24.16,3/16/2026
13,Vanderbilt,26,8,125.35,101.21,24.14,3/16/2026
14,Louisville,23,10,123.27,99.49,23.78,3/16/2026
15,Arkansas,26,8,126.4,102.97,23.43,3/16/2026
16,Nebraska,26,6,117.75,94.49,23.26,3/16/2026
17,Tennessee,22,11,120.47,97.34,23.13,3/16/2026
18,Saint Mary's,26,5,120.69,98.14,22.55,3/16/2026
19,Alabama,23,9,126.84,104.33,22.51,3/16/2026
20,St. John's,28,6,119.15,96.69,22.46,3/16/2026
21,Texas Tech,22,10,123.01,101.15,21.86,3/16/2026
22,Kansas,23,10,116.9,96.23,20.67,3/16/2026
23,Iowa,21,12,121.74,101.26,20.48,3/16/2026
24,BYU,23,11,123.88,103.49,20.39,3/16/2026
25,Utah State,27,6,122.72,102.43,20.28,3/16/2026
26,North Carolina,24,8,120.76,100.57,20.19,3/16/2026
27,Saint Louis,27,5,121.38,101.51,19.87,3/16/2026
28,Wisconsin,24,10,123.46,103.93,19.54,3/16/2026
29,Kentucky,21,13,120.22,100.73,19.49,3/16/2026
30,Ohio State,21,12,123.2,104.15,19.05,3/16/2026
31,Georgia,22,10,122.81,104.01,18.81,3/16/2026
32,Miami,25,8,120.5,102.2,18.3,3/16/2026
33,UCLA,23,11,121.38,103.53,17.85,3/16/2026
34,NC State,20,13,123.12,105.29,17.83,3/16/2026
35,Clemson,24,10,116.29,99.04,17.25,3/16/2026
36,SMU,20,13,122.4,105.33,17.08,3/16/2026
37,Auburn,17,16,123.64,107.05,16.59,3/16/2026
38,Villanova,24,8,118.97,102.57,16.4,3/16/2026
39,South Florida,24,8,118.53,102.58,15.95,3/16/2026
40,Indiana,18,14,119.86,103.98,15.88,3/16/2026
41,VCU,27,7,119.8,104.21,15.59,3/16/2026
42,Texas,17,14,122.87,107.32,15.54,3/16/2026
43,Santa Clara,25,8,121.01,105.65,15.37,3/16/2026
44,TCU,22,11,115.17,100.1,15.07,3/16/2026
45,Tulsa,24,7,122.41,107.91,14.5,3/16/2026
46,Texas A&M,21,11,119.02,104.7,14.32,3/16/2026
47,New Mexico,22,10,116.5,102.23,14.27,3/16/2026
48,Oklahoma,19,15,122.61,108.56,14.04,3/16/2026
49,Akron,27,5,119.99,106.2,13.78,3/16/2026
50,San Diego State,21,11,112.34,98.96,13.37,3/16/2026
51,Cincinnati,18,15,109.92,96.61,13.32,3/16/2026
52,Baylor,15,16,121.76,108.47,13.29,3/16/2026
53,McNeese,26,5,115.92,103.02,12.89,3/16/2026
54,Yale,22,6,121.57,109.05,12.52,3/16/2026
55,High Point,27,4,118.97,106.71,12.26,3/16/2026
56,Seton Hall,21,12,109.87,97.68,12.19,3/16/2026
57,Belmont,25,6,119.82,107.66,12.16,3/16/2026
58,Virginia Tech,19,13,116.46,104.48,11.97,3/16/2026
59,Washington,16,17,115.7,103.94,11.76,3/16/2026
60,Northern Iowa,22,12,110.31,98.76,11.56,3/16/2026
61,UCF,21,11,118.65,107.39,11.26,3/16/2026
62,Boise State,19,11,116.49,105.25,11.25,3/16/2026
63,Northwestern,15,19,116.33,105.23,11.11,3/16/2026
64,Missouri,20,12,117.62,106.71,10.91,3/16/2026
65,West Virginia,18,14,110.14,99.25,10.9,3/16/2026
66,Florida State,18,15,116.72,105.91,10.81,3/16/2026
67,Wichita State,21,11,113.5,102.97,10.53,3/16/2026
68,Wake Forest,17,16,116.57,106.09,10.48,3/16/2026
69,Dayton,23,11,111.35,100.91,10.45,3/16/2026
70,Stanford,20,12,115.88,105.5,10.38,3/16/2026
71,Miami (OH),28,1,118.01,107.73,10.27,3/16/2026
72,Grand Canyon,20,12,110.52,100.34,10.18,3/16/2026
73,Nevada,22,12,115.45,105.54,9.91,3/16/2026
74,LSU,15,17,118.45,108.64,9.81,3/16/2026
75,George Washington,17,15,117.4,107.71,9.69,3/16/2026
76,Hofstra,22,10,114.91,105.3,9.6,3/16/2026
77,California,20,11,113.52,103.96,9.56,3/16/2026
78,Providence,15,18,119.94,110.63,9.31,3/16/2026
79,Minnesota,15,17,113.33,104.17,9.17,3/16/2026
80,Utah Valley,22,8,112.99,104.27,8.72,3/16/2026
81,Colorado,17,15,117.55,109.06,8.49,3/16/2026
82,Butler,16,16,115.7,107.34,8.36,3/16/2026
83,Ole Miss,15,20,112.67,104.42,8.25,3/16/2026
84,Oklahoma State,19,14,116.68,108.51,8.17,3/16/2026
85,Stephen F. Austin,26,5,112.93,104.91,8.02,3/16/2026
86,Syracuse,15,17,113.72,105.72,8.01,3/16/2026
87,Creighton,15,17,114.58,106.63,7.96,3/16/2026
88,Arizona State,17,16,113.73,105.84,7.89,3/16/2026
89,Colorado State,20,12,118.61,110.74,7.87,3/16/2026
90,USC,17,14,112.44,104.68,7.76,3/16/2026
91,George Mason,22,9,113.06,105.36,7.7,3/16/2026
92,Illinois State,19,12,111.37,103.71,7.66,3/16/2026
93,St. Thomas-Minnesota,21,9,115.23,107.78,7.45,3/16/2026
94,UNC Wilmington,24,6,113.36,105.94,7.41,3/16/2026
95,Georgetown,16,18,113.26,106.17,7.08,3/16/2026
96,Marquette,12,20,110.56,103.92,6.64,3/16/2026
