"","team","Rank","seed","region","prob_r64","prob_r32","prob_s16","prob_e8","prob_f4","prob_champ"
"1","Akron",49,12,"midwest",0.3003,0.1021,0.0129,0.0027,5e-04,1e-04
"2","Alabama",19,4,"midwest",0.8185,0.4784,0.1299,0.0557,0.019,0.0038
"3","Arizona",3,1,"west",0.9895,0.8213,0.6487,0.4331,0.2558,0.1338
"4","Arkansas",15,4,"west",0.8832,0.5819,0.1914,0.0825,0.0317,0.0089
"5","BYU",24,6,"west",0.5977,0.1846,0.07,0.0203,0.0055,0.0017
"6","California Baptist",104,13,"east",0.1545,0.0252,0.001,NA,NA,NA
"7","Clemson",35,8,"south",0.4143,0.0801,0.0309,0.0087,0.0017,6e-04
"8","Duke",1,1,"east",0.9945,0.9033,0.7868,0.6502,0.4781,0.324
"9","Florida",4,1,"south",0.9964,0.7723,0.5421,0.3218,0.1474,0.0754
"10","Furman",173,15,"east",0.0495,0.0073,5e-04,NA,NA,NA
"11","Georgia",31,8,"midwest",0.4765,0.0773,0.0368,0.0122,0.0031,8e-04
"12","Gonzaga",7,3,"west",0.9646,0.7165,0.4305,0.2154,0.1052,0.0437
"13","Hawai'i",100,13,"west",0.1168,0.0264,0.0015,1e-04,NA,NA
"14","High Point",55,12,"west",0.3151,0.0876,0.0099,0.0019,1e-04,NA
"15","Hofstra",76,13,"midwest",0.1815,0.0443,0.0036,4e-04,1e-04,1e-04
"16","Houston",8,2,"south",0.9575,0.6702,0.3619,0.1926,0.0756,0.0343
"17","Howard",179,16,"midwest",0.0051,6e-04,NA,NA,NA,NA
"18","Idaho",134,15,"south",0.0425,0.0057,6e-04,NA,NA,NA
"19","Illinois",5,3,"south",0.9656,0.7401,0.4361,0.2449,0.1024,0.0474
"20","Iowa",23,9,"south",0.5857,0.1475,0.0658,0.0221,0.0044,0.0011
"21","Iowa State",6,2,"midwest",0.9745,0.7525,0.4945,0.2371,0.1163,0.0503
"22","Kansas",22,4,"east",0.8455,0.4423,0.0749,0.034,0.0126,0.0042
"23","Kennesaw State",153,14,"west",0.0354,0.0045,3e-04,NA,NA,NA
"24","Kentucky",29,7,"midwest",0.6106,0.1687,0.0695,0.0166,0.0041,7e-04
"25","Lehigh",272,16,"south",0.0023,NA,NA,NA,NA,NA
"26","Long Island University",195,16,"west",0.0105,9e-04,NA,NA,NA,NA
"27","Louisville",14,6,"east",0.6922,0.3571,0.1939,0.0514,0.0208,0.0067
"28","McNeese",53,12,"south",0.2183,0.0626,0.0089,0.0016,3e-04,NA
"29","Miami",32,7,"west",0.6882,0.2009,0.0647,0.0163,0.0035,9e-04
