Rank,Team,W,L,AdjOffEff,AdjDefEff,Total,Date
1,Duke,32,2,127.95,90.67,37.27,3/15/2026
2,Michigan,31,2,126.12,91.67,34.45,3/15/2026
3,Arizona,32,2,125.49,92.38,33.11,3/15/2026
4,Florida,26,7,124.48,93.98,30.51,3/15/2026
5,Illinois,24,8,128.98,99.76,29.22,3/15/2026
6,Iowa State,27,7,123.43,94.59,28.84,3/15/2026
7,Gonzaga,30,3,122.3,93.62,28.68,3/15/2026
8,Houston,28,6,122.36,94.08,28.27,3/15/2026
9,Purdue,26,8,128.89,101.95,26.94,3/15/2026
10,UConn,29,5,120.89,96.15,24.73,3/15/2026
11,Vanderbilt,26,7,125.63,101.08,24.56,3/15/2026
12,Michigan State,25,7,121.16,96.68,24.49,3/15/2026
13,Virginia,29,5,122.47,98.23,24.24,3/15/2026
14,Louisville,23,10,123.33,99.49,23.85,3/15/2026
15,Nebraska,26,6,117.81,94.46,23.34,3/15/2026
16,Tennessee,22,11,120.56,97.34,23.22,3/15/2026
17,Arkansas,25,8,126.27,103.22,23.05,3/15/2026
18,St. John's,28,6,119.18,96.65,22.54,3/15/2026
19,Saint Mary's,26,5,120.62,98.12,22.5,3/15/2026
20,Alabama,23,9,126.81,104.32,22.49,3/15/2026
21,Texas Tech,22,10,122.96,101.14,21.81,3/15/2026
22,Kansas,23,10,116.96,96.19,20.77,3/15/2026
23,Iowa,21,12,121.72,101.26,20.46,3/15/2026
24,Utah State,27,6,122.72,102.39,20.33,3/15/2026
25,BYU,23,11,123.77,103.49,20.28,3/15/2026
26,North Carolina,24,8,120.76,100.53,20.23,3/15/2026
27,Saint Louis,27,5,121.39,101.52,19.87,3/15/2026
28,Wisconsin,24,10,123.55,103.91,19.64,3/15/2026
29,Kentucky,21,13,120.21,100.69,19.52,3/15/2026
30,Ohio State,21,12,123.27,104.11,19.16,3/15/2026
31,Georgia,22,10,122.8,103.92,18.88,3/15/2026
32,Miami,25,8,120.49,102.12,18.36,3/15/2026
33,NC State,20,13,123.13,105.28,17.85,3/15/2026
34,UCLA,23,11,121.38,103.56,17.83,3/15/2026
35,Clemson,24,10,116.33,99.03,17.29,3/15/2026
36,SMU,20,13,122.38,105.28,17.1,3/15/2026
37,Auburn,17,16,123.59,107.09,16.5,3/15/2026
38,Villanova,24,8,119,102.59,16.41,3/15/2026
39,Indiana,18,14,119.83,104.02,15.81,3/15/2026
40,Texas,17,14,122.88,107.25,15.63,3/15/2026
41,South Florida,23,8,118.79,103.28,15.52,3/15/2026
42,VCU,26,7,119.88,104.43,15.45,3/15/2026
43,Santa Clara,25,8,121.01,105.64,15.37,3/15/2026
44,TCU,22,11,115.19,100.09,15.09,3/15/2026
45,Tulsa,24,7,122.41,107.91,14.5,3/15/2026
46,Texas A&M,21,11,119.01,104.65,14.36,3/15/2026
47,New Mexico,22,10,116.47,102.25,14.22,3/15/2026
48,Oklahoma,19,15,122.6,108.57,14.03,3/15/2026
49,Akron,27,5,120.01,106.27,13.74,3/15/2026
50,San Diego State,21,11,112.36,99,13.36,3/15/2026
51,Baylor,15,16,121.78,108.46,13.32,3/15/2026
52,Cincinnati,18,15,109.94,96.65,13.29,3/15/2026
53,Yale,22,5,121.55,108.67,12.87,3/15/2026
54,McNeese,26,5,115.87,103.05,12.82,3/15/2026
55,High Point,27,4,119.02,106.6,12.42,3/15/2026
56,Seton Hall,21,12,109.81,97.67,12.14,3/15/2026
57,Belmont,25,6,119.79,107.7,12.09,3/15/2026
58,Virginia Tech,19,13,116.46,104.52,11.94,3/15/2026
59,Washington,16,17,115.74,103.82,11.92,3/15/2026
60,Northern Iowa,22,12,110.31,98.8,11.51,3/15/2026
61,UCF,21,11,118.69,107.38,11.31,3/15/2026
62,Boise State,19,11,116.45,105.23,11.21,3/15/2026
63,Northwestern,15,19,116.35,105.2,11.15,3/15/2026
64,Wichita State,21,10,114.22,103.27,10.95,3/15/2026
65,Missouri,20,12,117.58,106.66,10.93,3/15/2026
66,West Virginia,18,14,110.21,99.29,10.92,3/15/2026
67,Florida State,18,15,116.69,105.93,10.77,3/15/2026
68,Dayton,23,10,111.52,100.97,10.55,3/15/2026
69,Wake Forest,17,16,116.57,106.09,10.48,3/15/2026
70,Stanford,20,12,115.94,105.51,10.42,3/15/2026
71,Miami (OH),28,1,118,107.73,10.27,3/15/2026
72,Grand Canyon,20,12,110.55,100.34,10.22,3/15/2026
73,Nevada,22,12,115.49,105.54,9.95,3/15/2026
74,LSU,15,17,118.43,108.56,9.87,3/15/2026
75,George Washington,17,15,117.34,107.71,9.63,3/15/2026
76,Hofstra,22,10,114.91,105.3,9.61,3/15/2026
77,California,20,11,113.5,103.95,9.55,3/15/2026
78,Providence,15,18,119.97,110.64,9.33,3/15/2026
79,Minnesota,15,17,113.43,104.17,9.26,3/15/2026
80,Utah Valley,22,8,112.87,104.38,8.5,3/15/2026
81,Colorado,17,15,117.46,109.06,8.4,3/15/2026
82,Butler,16,16,115.75,107.36,8.39,3/15/2026
83,Ole Miss,15,20,112.69,104.4,8.28,3/15/2026
84,Oklahoma State,19,14,116.63,108.57,8.06,3/15/2026
85,Creighton,15,17,114.56,106.53,8.03,3/15/2026
86,Syracuse,15,17,113.77,105.75,8.02,3/15/2026
87,Stephen F. Austin,26,5,112.88,104.96,7.92,3/15/2026
88,Arizona State,17,16,113.72,105.81,7.91,3/15/2026
89,Colorado State,20,12,118.59,110.72,7.88,3/15/2026
90,USC,17,14,112.46,104.67,7.79,3/15/2026
91,George Mason,22,9,113.13,105.37,7.76,3/15/2026
92,Illinois State,19,12,111.32,103.73,7.59,3/15/2026
93,UNC Wilmington,24,6,113.33,105.89,7.44,3/15/2026
94,St. Thomas-Minnesota,21,9,115.19,107.76,7.42,3/15/2026
95,Georgetown,16,18,113.26,106.13,7.13,3/15/2026
96,Marquette,12,20,110.6,103.94,6.66,3/15/2026
97,Notre Dame,13,18,114.16,108.06,6.09,3/15/2026
98,UIC,17,15,110.88,104.85,6.02,3/15/2026
99,Murray State,20,12,116.98,111.02,5.96,3/15/2026
100,Hawai'i,22,8,107.99,102.21,5.78,3/15/2026
101,Sam Houston,19,11,114.16,108.39,5.78,3/15/2026
102,North Dakota State,24,7,112.37,106.68,5.69,3/15/2026
103,Wyoming,17,14,114.54,108.92,5.63,3/15/2026
104,California Baptist,25,8,108.41,103.1,5.31,3/15/2026
105,Liberty,22,7,117.3,112.22,5.09,3/15/2026
106,Bradley,20,12,112.28,107.31,4.96,3/15/2026
107,Xavier,15,18,114.84,110.05,4.79,3/15/2026
108,Southern Illinois,15,16,105.72,100.96,4.76,3/15/2026
109,South Carolina,13,19,111.93,107.17,4.76,3/15/2026
110,UC Irvine,21,11,105.11,100.53,4.58,3/15/2026
111,Pittsburgh,13,20,112.31,107.76,4.55,3/15/2026
112,Pacific,16,15,110.75,106.29,4.45,3/15/2026
113,Davidson,18,13,110.21,105.78,4.43,3/15/2026
114,UAB,19,12,110.48,106.09,4.39,3/15/2026
115,Kansas State,12,20,112.23,107.88,4.35,3/15/2026
116,DePaul,16,16,106.92,102.67,4.25,3/15/2026
117,Navy,24,7,109.16,104.97,4.2,3/15/2026
118,East Tennessee State,21,11,111.92,107.76,4.17,3/15/2026
119,Montana State,15,14,111.59,107.66,3.93,3/15/2026
120,William & Mary,18,12,112.23,108.34,3.89,3/15/2026
121,UNLV,16,16,114.07,110.24,3.83,3/15/2026
122,Wright State,21,11,113.11,109.31,3.8,3/15/2026
123,Winthrop,20,11,113.77,109.99,3.77,3/15/2026
124,UT Rio Grande Valley,17,14,110.78,107.1,3.67,3/15/2026
125,Cornell,13,13,120.73,117.1,3.63,3/15/2026
126,Florida Atlantic,16,15,110.48,106.85,3.62,3/15/2026
127,San Francisco,16,16,113.31,109.72,3.59,3/15/2026
128,Troy,20,11,112.3,108.74,3.56,3/15/2026
129,Toledo,17,15,114.85,111.31,3.53,3/15/2026
130,Oregon,12,20,110.69,107.3,3.39,3/15/2026
131,Mississippi State,13,19,111.15,108.03,3.13,3/15/2026
132,UC San Diego,21,11,107.86,104.76,3.1,3/15/2026
133,Saint Joseph's,20,11,107.54,104.57,2.97,3/15/2026
134,Idaho,18,14,110.47,107.57,2.9,3/15/2026
135,Harvard,16,12,108.28,105.57,2.71,3/15/2026
136,Seattle U,18,13,102.87,100.21,2.66,3/15/2026
137,UC Santa Barbara,16,14,113.9,111.44,2.47,3/15/2026
138,Robert Morris,20,11,111.78,109.38,2.41,3/15/2026
139,Pennsylvania,16,11,108.64,106.28,2.36,3/15/2026
140,St. Bonaventure,16,17,113.96,111.62,2.33,3/15/2026
141,Duquesne,16,15,110.87,108.68,2.2,3/15/2026
142,Bowling Green,15,14,108.05,105.86,2.19,3/15/2026
143,Northern Colorado,17,12,112.83,110.64,2.19,3/15/2026
144,Arkansas State,18,12,111.32,109.3,2.02,3/15/2026
145,Portland State,17,11,105.57,103.59,1.98,3/15/2026
146,Washington State,11,20,113.38,111.52,1.86,3/15/2026
147,Memphis,13,19,107.57,105.81,1.76,3/15/2026
148,North Texas,17,14,104.13,102.46,1.67,3/15/2026
149,Rhode Island,16,16,106.29,104.65,1.64,3/15/2026
150,Richmond,14,17,111.75,110.32,1.43,3/15/2026
151,Kennesaw State,18,13,111.72,110.31,1.41,3/15/2026
152,Central Arkansas,20,12,110.18,108.8,1.37,3/15/2026
153,Austin Peay,20,9,109.41,108.06,1.36,3/15/2026
154,Kent State,22,9,111.87,110.53,1.34,3/15/2026
155,Towson,17,15,106.09,104.84,1.25,3/15/2026
156,Fresno State,12,19,106.62,105.58,1.03,3/15/2026
157,Valparaiso,17,15,108.64,107.63,1.01,3/15/2026
158,Mercer,16,13,113.46,112.46,1,3/15/2026
159,Temple,15,16,112.37,111.4,0.98,3/15/2026
160,Monmouth,18,15,107.65,106.7,0.95,3/15/2026
161,Penn State,12,20,113.67,112.74,0.93,3/15/2026
162,Utah,10,22,113.15,112.38,0.77,3/15/2026
163,Western Kentucky,16,14,109.44,108.68,0.77,3/15/2026
164,Siena,23,11,108.71,108.16,0.56,3/15/2026
165,Tennessee State,20,9,110.18,109.64,0.54,3/15/2026
166,Charleston,20,11,109.15,108.72,0.43,3/15/2026
167,Marist,18,12,102.52,102.09,0.43,3/15/2026
168,Middle Tennessee,14,15,109.86,109.46,0.41,3/15/2026
